timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T18:04:08.510449+00:00,0.498492,1774634648510449200,1.461382,0.548691,0.795287,0.441826,-0.74782,-0.435012,0.238901,-0.170535,-0.189793,0.336174,0.305514,0.350463,-0.49827,-0.732651,0.45878,0.330021,0.432152,0.593791,-0.117876,-0.756738,-0.247812
2026-03-27T18:04:08.525798+00:00,0.513841,1774634648525798200,1.461465,0.548249,0.795088,0.442328,-0.748067,-0.434751,0.23861,-0.171349,-0.189333,0.336548,0.307238,0.351749,-0.50131,-0.728295,0.458851,0.329875,0.432357,0.593673,-0.11772,-0.756369,-0.248158
2026-03-27T18:04:08.542802+00:00,0.530844,1774634648542801700,1.461558,0.548103,0.794951,0.443381,-0.746625,-0.434068,0.237894,-0.172276,-0.18885,0.337123,0.309195,0.352244,-0.504111,-0.722841,0.458946,0.329689,0.432592,0.593612,-0.117669,-0.755948,-0.248362
2026-03-27T18:04:08.559719+00:00,0.547762,1774634648559718900,1.461577,0.547824,0.794891,0.443408,-0.747409,-0.434769,0.237649,-0.17317,-0.188354,0.337567,0.310276,0.353951,-0.508665,-0.718929,0.458974,0.329545,0.432811,0.592804,-0.1178,-0.756828,-0.248869
2026-03-27T18:04:08.576953+00:00,0.564996,1774634648576953300,1.461622,0.547715,0.794841,0.443715,-0.747775,-0.435016,0.237198,-0.174085,-0.187863,0.338149,0.310835,0.355595,-0.514327,-0.71469,0.45902,0.329375,0.433042,0.592682,-0.117756,-0.756959,-0.24918
2026-03-27T18:04:08.594024+00:00,0.582067,1774634648594024000,1.461625,0.54751,0.794816,0.444578,-0.745774,-0.434407,0.236083,-0.174982,-0.187359,0.338673,0.310605,0.357717,-0.519991,-0.710367,0.458978,0.329262,0.433243,0.592397,-0.117741,-0.756551,-0.249459
2026-03-27T18:04:08.611072+00:00,0.599114,1774634648611071600,1.461662,0.5474,0.794803,0.444484,-0.745872,-0.434889,0.235398,-0.175788,-0.186899,0.339307,0.309098,0.360454,-0.526685,-0.70867,0.459013,0.329124,0.433412,0.592317,-0.117806,-0.756678,-0.249685
2026-03-27T18:04:08.628052+00:00,0.616094,1774634648628051500,1.461674,0.547142,0.794797,0.443769,-0.747694,-0.435924,0.235053,-0.176432,-0.18653,0.340027,0.309557,0.359973,-0.528678,-0.705962,0.459081,0.329,0.433568,0.591639,-0.117879,-0.757503,-0.250086
2026-03-27T18:04:08.645211+00:00,0.633254,1774634648645211100,1.461729,0.547009,0.794805,0.444138,-0.747418,-0.435673,0.234202,-0.176825,-0.186346,0.340916,0.311254,0.357966,-0.528915,-0.704503,0.459107,0.328893,0.433713,0.59151,-0.117876,-0.757564,-0.25021
2026-03-27T18:04:08.662163+00:00,0.650206,1774634648662163400,1.46173,0.546712,0.794776,0.445217,-0.746306,-0.434601,0.233264,-0.177078,-0.186273,0.34168,0.313536,0.356428,-0.528974,-0.70438,0.459243,0.328748,0.433856,0.591491,-0.117928,-0.757146,-0.250363
